ref_month,year,month,fuel,value
2010-01-01,2010,1,electricity,0.9510978505120992
2010-01-01,2010,1,gas,0.9998683245120964
2010-02-01,2010,2,electricity,0.8108265794779073
2010-02-01,2010,2,gas,0.8668404834144005
2010-03-01,2010,3,electricity,0.9348943741298935
2010-03-01,2010,3,gas,0.814291092857554
2010-04-01,2010,4,electricity,0.7642293095181704
2010-04-01,2010,4,gas,0.6007994998781234
2010-05-01,2010,5,electricity,0.728506565151839
2010-05-01,2010,5,gas,0.5469470578796449
2010-06-01,2010,6,electricity,0.7336362218460987
2010-06-01,2010,6,gas,0.40736981581355236
2010-07-01,2010,7,electricity,0.7487796847109658
2010-07-01,2010,7,gas,0.3784005960306271
2010-08-01,2010,8,electricity,0.7080976945428078
2010-08-01,2010,8,gas,0.39866874550619114
2010-09-01,2010,9,electricity,0.7126323572736567
2010-09-01,2010,9,gas,0.434617072370073
2010-10-01,2010,10,electricity,0.7854497981064172
2010-10-01,2010,10,gas,0.570318155538761
2010-11-01,2010,11,electricity,0.8699100577086378
2010-11-01,2010,11,gas,0.7711790070075857
2010-12-01,2010,12,electricity,1
2010-12-01,2010,12,gas,1
2011-01-01,2011,1,electricity,1
2011-01-01,2011,1,gas,1
2011-02-01,2011,2,electricity,0.8059454161178669
2011-02-01,2011,2,gas,0.7938720256882932
2011-03-01,2011,3,electricity,0.958354519557693
2011-03-01,2011,3,gas,0.7891336192412124
2011-04-01,2011,4,electricity,0.8036113578583024
2011-04-01,2011,4,gas,0.5308317696389451
2011-05-01,2011,5,electricity,0.7662480472937789
2011-05-01,2011,5,gas,0.4983902269173093
2011-06-01,2011,6,electricity,0.7441143137194842
2011-06-01,2011,6,gas,0.42648497420664033
2011-07-01,2011,7,electricity,0.7493399087205562
2011-07-01,2011,7,gas,0.4221388734280204
2011-08-01,2011,8,electricity,0.7670230036450517
2011-08-01,2011,8,gas,0.4183110711299323
2011-09-01,2011,9,electricity,0.7774282476184643
2011-09-01,2011,9,gas,0.4491042006576634
2011-10-01,2011,10,electricity,0.8341593408276412
2011-10-01,2011,10,gas,0.5450344852138621
